Date,@fml,@runza,@theatha,@sweathopp,@ailshe,@hevine,@unrest,@railanr,@riftersx,@moomont,@goout,@justlike
13/05/2019,30,549,331,171,44,381,458,93,31,446,453,585
14/05/2019,32,550,331,171,44,383,458,93,31,446,453,591
15/05/2019,33,551,331,171,44,383,458,95,31,446,453,594
16/05/2019,35,552,332,171,44,383,458,95,31,447,455,594
17/05/2019,36,553,332,171,44,384,458,96,31,448,456,594
18/05/2019,36,553,332,171,44,384,458,98,31,449,456,594
19/05/2019,36,553,333,171,44,384,458,98,31,449,456,594
20/05/2019,39,554,333,171,44,385,458,100,31,450,457,594
21/05/2019,40,555,333,171,44,386,458,102,31,450,458,594
22/05/2019,41,555,333,171,44,387,458,102,31,451,459,594
23/05/2019,42,555,333,171,44,388,458,104,31,449,460,594
24/05/2019,45,556,333,172,44,390,458,104,31,449,461,597
25/05/2019,45,556,333,172,44,390,458,105,31,451,461,597
26/05/2019,45,556,333,172,44,390,458,105,31,451,461,593
27/05/2019,49,557,334,172,44,391,458,106,31,451,462,593
28/05/2019,50,557,334,172,44,392,458,106,31,453,463,593
29/05/2019,51,557,334,172,44,393,458,106,31,453,464,592
30/05/2019,53,558,334,172,44,393,458,106,31,453,465,593
01/06/2019,54,559,337,173,44,395,458,106,31,453,466,588
02/06/2019,54,559,338,173,44,396,458,106,31,454,466,588
03/06/2019,54,559,338,173,44,398,458,106,31,454,467,588
06/06/2019,54,561,339,173,44,399,458,108,31,456,470,591
08/06/2019,54,562,340,173,44,403,458,109,31,457,471,588
09/06/2019,54,563,340,173,44,404,458,109,31,457,471,588
10/06/2019,54,564,343,173,44,406,458,111,31,458,472,588
11/06/2019,54,564,344,173,44,406,458,111,31,458,473,588
12/06/2019,54,564,344,173,44,406,458,112,31,462,474,588
13/06/2019,54,564,344,173,44,406,458,112,31,462,475,588
14/06/2019,54,565,345,173,44,407,458,113,31,463,475,588
18/06/2019,54,565,345,173,44,412,458,113,31,466,477,588
20/06/2019,54,566,345,173,44,412,458,114,31,467,479,591
21/06/2019,54,566,346,173,44,413,458,114,31,467,479,591
22/06/2019,54,566,347,173,44,414,458,114,31,468,480,591
23/06/2019,54,566,347,173,44,414,458,115,31,468,480,591
25/06/2019,54,567,348,173,44,416,458,116,31,469,482,591
26/06/2019,54,567,349,173,44,416,458,116,31,470,483,588
27/06/2019,54,568,349,173,44,418,458,118,31,470,483,588
28/06/2019,54,568,349,173,44,420,458,118,31,471,484,588
01/07/2019,54,569,351,173,44,423,458,120,31,473,485,588
02/07/2019,58,569,351,173,44,425,458,122,31,474,486,588
03/07/2019,60,569,351,173,44,426,458,122,31,474,487,588
